"Date","EW","MAXSER","MAXSER_ALL_Long_Only","MAXSER_H_ALL_Long_Only","SSE","SZ100","SSE50","HS300","CSI500","CYB50"
2017-08-16,-0.0929706427147102,-0.0113598494210521,-0.022650524579481,-0.0360982771694223,-0.0140273543584198,-0.00352021455067253,-0.0323677523160707,-0.0182904543889715,-0.0468185590766627,-0.0959120757384737
2017-08-17,-0.0863954658426852,-0.00273886250803979,-0.0156187026213411,-0.0301715085422393,-0.00735246328323946,0,-0.0289812271958625,-0.0130238792780147,-0.0396930775304168,-0.0887893090664063
2017-08-18,-0.0922590520693868,0,-0.0157541756905438,-0.0302653391560551,-0.00726286946818899,-0.00225421446422769,-0.0255577866399682,-0.0121229095619487,-0.0424504379585612,-0.0963246972473789
2017-08-21,-0.0898937152295975,0,-0.0115335059103145,-0.0266729809163216,-0.00174115709045408,0,-0.0242303224880257,-0.00779443568317462,-0.0339991486108514,-0.0926985614870538
2017-08-22,-0.0973372826428313,-0.0103815209134035,-0.0191361449167733,-0.0326747874348783,-0.000732847036327366,-0.00125856695713789,-0.0142821718954209,-0.0047963309818474,-0.0381925871218194,-0.100646571176932
2017-08-23,-0.103560921774343,-0.0128320117650123,-0.0226560132842686,-0.0363557207262646,-0.0014984945201989,-0.000794388925190015,-0.00821275223217177,-0.00379112779553892,-0.0462177293493635,-0.10549935892297
2017-08-24,-0.110495934207299,-0.00749438831695926,-0.0213693796785152,-0.034833443648383,-0.00641643569684813,-0.00586003644388922,-0.0132015564144297,-0.00947834993907781,-0.0528838770970591,-0.111988617028375
2017-08-25,-0.0988274555652592,-0.00353335733861704,-0.0159185670886131,-0.0301972157636624,0,0,0,0,-0.0426352274177481,-0.100390925242066
2017-08-28,-0.0853737314271842,-0.00573163200420879,-0.0119264081337207,-0.0259906339997316,0,0,0,0,-0.0308608956239749,-0.0827962059003772
2017-08-29,-0.0960506368094739,-0.00739622756088287,-0.0150187385498656,-0.0285216822987145,0,-0.00600768622799475,0,-0.00212714409176218,-0.0333390354080745,-0.089505790436489
2017-08-30,-0.0916057094013778,0,-0.00743233772955953,-0.0203044877670997,-0.00047545098011248,-0.00182054677836474,-0.00397900208423918,-0.00218881929970782,-0.0265045406918462,-0.087753830904792
2017-08-31,-0.0849245868299157,0,-0.00135365859853664,-0.0144306968780326,-0.00131224470511049,-0.00352791485370041,-0.00894371897051949,-0.00536574309127058,-0.0239458477883949,-0.0817506364518605
2017-09-01,-0.0730160668552382,0,0,-0.0065596404962972,0,0,-0.0105913230081532,-0.00316781563849056,-0.0154864126196272,-0.0693349897993928
2017-09-04,-0.0601573830221348,0,0,0,0,0,-0.0101426402334461,0,-0.00972761882867379,-0.0594528167865214
2017-09-05,-0.0567593771211897,-0.000112880757128453,0,0,0,0,-0.00338866844168306,0,-0.00864467717356965,-0.0616723392780377
2017-09-06,-0.0424728944232331,0,0,0,0,0,-0.00905360791696885,-0.00196964205249306,-0.00332605941682595,-0.049198387412355
2017-09-07,-0.0502512615709386,-0.00141093710231555,-0.00123474584544503,0,-0.0058755451369239,-0.00379112186659658,-0.0172682630135341,-0.00704554729189111,-0.0106453813345454,-0.055614203374192
2017-09-08,-0.0548470173559172,-0.00280265318000883,-0.00321366409247748,-0.00139018463552376,-0.00595086885166485,-0.00457676432080911,-0.0191447719329754,-0.00805201700990843,-0.00829425601953593,-0.0602730141608806
2017-09-11,-0.0411805452436167,0,0,0,-0.00264962243618749,0,-0.0235034567557786,-0.00814120443468891,0,-0.0497455594132946
